assemblage_code,analyst_id,analysis_order,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_B,9d812,1,40,complete,yes,,0,,,Absent,7,Orthogonal,5,0,2,0,103.92,110.51,68.28,16.74,90.27,76.35,17.22,46.78,58.97,69.04,12.56,11.72,10.56,22.47,12.37,9.8,12.37,2.3,74.22076438,Plain,No,Yes,No,Hertzian,BULBAR,18,TRAPEZOIDAL,DIVERGENT,FEATHER,Irreg,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,87,complete,no,,0,,,Absent,4,Orthogonal,0,0,2,2,27.03,60.9,36.27,18.28,51.83,40.27,18.64,28.62,35.98,32.4,18.94,17.75,10.74,10.13,9.58,6.2,9.58,1.59,55.22150222,Plain,No,Yes,No,Hertzian,BULBAR,18,RIGHTTRIANGLE,DIAMOND,FEATHER,Pointed,0-30,No,ECLAT DEBORDANT,CENTRIPETAL,FLAKE,
chert_condition_A,8240a,8,4,complete,no,,10,ProxRight,,Complete,1,Indeterminate,0,1,0,0,60.09999847,80.62000275,71.30000305,14.40999985,72.52999878,71.51000214,11.92000008,66.66999817,56.27999878,41.98,12.97000027,11.02999973,6.96999979,0,12.88000011,0,12.93000031,2.660000086,,Cortical,No,Yes,No,Hertzian,FLAT,17.29999924,TRIANGULAR,OVOID,FEATHER,Irreg,0,Yes,,,FLAKE,
chert_condition_A,8240a,8,26,fragment,no,,90,All,,Indeterminate,1,Indeterminate,0,0,0,0,29.29999924,53.68000031,46.54000092,17.20000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeterminate,Indeterminate,Indeterminate,Indet,Hertzian,FLAT,17.20000076,INDET,NA,FEATHER,INDET,0,No,indet distal plan form,,FLAKE,
chert_condition_B,8240a,8,101,complete,no,,0,Other,,Partial,3,Subcentripetal,0,2,0,1,12.10000038,39.77999878,33.70999908,13.57999992,35.68000031,37.70999908,18.17000008,32.75,26.42000008,24.36,10.76000023,5.21999979,4.710000038,0,0,0,0,0,,Indeterminate,No,Indeterminate,No,Hertzian,FLAT,17.10000038,TRIANGULAR,CONVERGENT,FEATHER,Pointed,0,No,,,FLAKE,"platform is somewhat crushed/irregular, pf measurements not taken"
chert_condition_A,8240a,8,15,complete,no,,5,Distal,,Absent,3,UnidirectionalConvergent,1,1,0,1,60.70000076,84.04000092,54.90000153,17.92000008,80.40000153,56.16999817,16.75,49.58000183,46.79999924,50.55,17.71999931,12.17000008,7.880000114,44.70000076,4.800000191,8.51,15.72000027,5.440000057,,Dihedral,No,Yes,Yes,Hertzian,CONCAVE,17,TRIANGULAR,OVOID,FEATHER,Pointed,0,No,,,FLAKE,
chert_condition_B,9d812,1,54,complete,no,,0,,,Absent,5,Orthogonal,4,0,1,0,74.89,93.64,54.65,18.2,64.61,48,17.9,45.39,47.14,45.05,15.75,13.94,11.55,38.47,10.24,10.24,11.06,2.63,81.72823496,Dihedral,No,Yes,No,Hertzian,CONCAVE,17,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,31-60,No,,,FLAKE,
chert_condition_B,9d812,1,95,complete,no,,0,,,Absent,5,Orthogonal,3,0,2,0,29.51,59.08,37.59,16.2,43.4,31.07,16.18,29.38,30.96,28.2,21.52,16.93,9.61,22.01,14.76,7.24,16.04,1.73,59.28658628,Plain,No,Yes,No,Hertzian,BULBAR,17,RIGHTTRIANGLE,PARALLEL,HINGE,Irreg,0-30,No,CORE TRIMMING ELEMENT,,FLAKE,"TERMINATION IS PART HINGE, PART FEATHER.  UNSURE HOW TO CLASSIFY OR MEASURE DISTAL PROFILE ANGLE."
chert_condition_B,9d812,1,55,proximal,no,break at distal end,50,other,medial and distal,Absent,5,Subcentripetal,3,1,1,0,54.77,79.26,55.27,19.11,74.69,55.72,19.08,43.39,49.23,52.2,18.52,12.28,2.52,21.76,5.74,8.7,10.39,1.61,55.81185981,Plain,No,Yes,No,Hertzian,CONCAVE,17,TRAPEZOIDAL,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,BREAK AT DISTAL END
chert_condition_B,8240a,8,70,complete,no,,0,,,Absent,5,UnidirectionalConvergent,1,2,1,1,45.29999924,65.70999908,64.08999634,17.29999924,57.09999847,63,17.29999924,49.54000092,52.43999863,38.27,14.75,11,8.279999733,39.86999893,18.43000031,18,18.48999977,2.400000095,,Plain,No,Yes,Yes,Hertzian,CONCAVE,16.79999924,TRIANGULAR,CONVERGENT,HINGE,Flat,0,No,Levallois point,Levallois (pref),FLAKE,
chert_condition_B,8240a,8,54,complete,no,,0,,,Absent,6,Indeterminate,3,1,3,0,74.69999695,93.73000336,62.40999985,16.05999947,79.88999939,53.90000153,17.65999985,45.11000061,46.47000122,32.8,16.43000031,13.69999981,11.31999969,38.56000137,10.73999977,10.75,15.15999985,4.099999905,,Dihedral,Yes,Yes,No,Hertzian,CONCAVE,16.60000038,TRAPEZOIDAL,PARALLEL,FEATHER,Irreg,0,No,Levallois,Levallois,ELONG,
chert_condition_B,8240a,8,38,complete,no,,100,All,,Absent,0,,0,0,0,0,0,105.8300018,60.29999924,16.12000084,53.09999847,103.6600037,14.03999996,70.44000244,105.7900009,54.51,16,14.35999966,11.77999973,41.72999954,11.14000034,11.4,12.38000011,7.329999924,,Plain,No,Yes,No,Hertzian,CONCAVE,16.5,DOMED,AMORPH,FEATHER,Rounded,0,No,,,FLAKE,
chert_condition_B,8240a,8,55,complete,no,,40,Distal,,Absent,2,Indeterminate,1,1,0,0,54.59999847,77.55000305,56.68000031,17.92000008,72.12000275,55.02999878,14.21000004,38.75,48.15999985,55.88,13.64000034,13.22999954,6.599999905,0,11.82999992,12.7,12.39999962,2.059999943,,Plain,Yes,Yes,No,Hertzian,CONCAVE,16.29999924,TRAPEZOIDAL,DIVERGENT,FEATHER,Irreg,0,No,,,FLAKE,
chert_condition_A,9d812,1,51,complete,no,,0,,,Absent,9,UnidirectionalConvergent,4,4,0,1,90.3,89.26,60.36,19.66,84.77,60.42,18.2,56.8,46.89,41.79,16.42,18,9.13,57.72,10.82,10.83,10.83,7.49,135.8180419,Dihedral,No,Yes,No,Hertzian,FLAT,16,TRAPEZOIDAL,PARALLEL,FEATHER,Pointed,0-30,No,,,FLAKE,
chert_condition_A,9d812,1,15,complete,no,,5,left,,Absent,4,Orthogonal,2,0,0,2,60.75,84.12,57.98,17.59,84.42,55.43,17.6,52.45,47.6,52.7,9.52,13.1,10.8,43.63,4.24,8.14,10.42,2.83,85.90221993,Dihedral,No,Yes,Yes,Hertzian,CONCAVE,16,RIGHTTRIANGLE,PARALLEL,FEATHER,Flat,0-30,No,,,FLAKE,
chert_condition_B,9d812,1,66,complete,no,,7,left,,Absent,9,Orthogonal,4,0,3,2,133.32,91.24,82.77,18,79.63,91.45,18.56,83.44,89.86,73.92,17.04,15.13,9.32,46.55,11.48,4.28,12.36,2.03,67.46707856,Plain,No,Yes,No,Hertzian,BULBAR,16,TRAPEZOIDAL,OVOID,FEATHER,Rounded,31-60,No,,,FLAKE,
chert_condition_B,8240a,8,92,complete,no,,0,,,Absent,4,Centripetal,1,1,1,1,27,55.47,47.91,15.88,43.62,43.84,15.79,36.89,43,29.21,15.33,15.91,9.15,34.58,16.99,17.27,16.63,65,,Plain,No,Yes,No,Hertzian,BULBAR,15.92,TRIANGULAR,PARALLEL,FEATHER,Flat,40,No,Levallois flake,Levallois non-Nubian,FLAKE,measured in Geneva
chert_condition_B,8240a,8,40,complete,no,,0,,,Absent,4,Centripetal,1,1,1,1,104,109.39,66.93,16.76,89.53,67.27,17.05,42.7,57.75,68.47,16.92,16.74,17.28,24.21,11.65,9.72,11.57,68,,Plain,No,Yes,No,Hertzian,BULBAR,15.91,TRAPEZOIDAL,DIVERGENT,FEATHER,Irreg,52,No,core edge with only one removal,,FLAKE,measured in Geneva
