,,,,,,,,,,
original flake id,new flake id,assemblage_code,variable,cv,mean,sd,min,max,median,range
25,73,chert_condition_B,platfthickimpact,0.06,6.68,0.42,5.95,7.51,6.66,1.56
25,73,chert_condition_B,platfthickmid,0.12,6.26,0.75,4.55,7.04,6.39,2.49
25,73,chert_condition_B,platfthickmax,0.04,6.82,0.28,6.32,7.17,6.79,0.85
64,74,chert_condition_B,dorsal_cortex,0.44,5.64,2.5,2,10,5,8
64,74,chert_condition_B,mass,0,60.92,0.09,60.7,61,60.9,0.3
64,74,chert_condition_B,maximumdimension,0.05,73.99,4,62.24,75.82,75.6,13.58
64,74,chert_condition_B,maximumwidth,0.02,69.76,1.45,66.01,71.12,70.09,5.11
64,74,chert_condition_B,maximumthickness,0.08,16.14,1.35,14.6,19.55,16.02,4.95
64,74,chert_condition_B,techlength,0.05,63.11,3.16,57.71,66.71,64.1,9
64,74,chert_condition_B,techmaxwidth,0.08,65.01,5.37,50.47,69.28,67.2,18.81
64,74,chert_condition_B,techmaxthickness,0.13,15.31,2.06,11.06,18.99,15.35,7.93
64,74,chert_condition_B,techwidthprox,0.04,51.72,2.13,49.01,54.96,51.06,5.95
64,74,chert_condition_B,techwidthmes,0.03,62.15,1.6,58.7,63.63,62.72,4.93
64,74,chert_condition_B,techwidthdist,0.14,62.4,8.96,35.7,66.71,65.23,31.01
64,74,chert_condition_B,techthickprox,0.16,14.49,2.39,10.82,18.98,14.23,8.16
64,74,chert_condition_B,techthickmes,0.12,12.69,1.48,10.74,14.97,12.11,4.23
64,74,chert_condition_B,techthickdist,0.31,6.4,1.96,3.77,10.46,6.2,6.69
64,74,chert_condition_B,platfthickimpact,0.42,7.37,3.13,1.6,9.92,9.03,8.32
64,74,chert_condition_B,platfthickmax,0.43,11.77,5,2.3,15.5,13.78,13.2
91,75,chert_condition_B,mass,0.01,19.62,0.1,19.5,19.9,19.6,0.4
91,75,chert_condition_B,maximumdimension,0.04,56.13,2.25,50.03,57.46,57.19,7.43
91,75,chert_condition_B,maximumwidth,0.01,38.53,0.58,37.47,39.23,38.5,1.76
91,75,chert_condition_B,maximumthickness,0.08,12.32,1.05,10.15,13.94,12.42,3.79
